date,open,close,high,low,volume
2026-03-05,93.18,92.81,95.46,91.41,121781
2026-03-06,91.62,91.85,93.67,91.14,89431
2026-03-09,89.89,87.6,90.28,84.36,146416
2026-03-10,89.7,89.7,90.49,87.49,111336
2026-03-11,90.12,90.41,92.54,89.92,105664
2026-03-12,89.68,88.72,93.34,87.5,101936
2026-03-13,87.7,88.86,92.25,86.73,115345
2026-03-16,88.87,89.79,90.58,85.89,112054
2026-03-17,89.76,86.49,90.35,86.37,100128
2026-03-18,87.77,90.73,91.82,87.3,175228
2026-03-19,89.07,84.84,89.29,84.19,183428
2026-03-20,85.68,82.75,85.82,82.71,101363
2026-03-23,80.7,78.24,81.19,77.69,137044
2026-03-24,79.43,78.64,79.57,75.94,92949
2026-03-25,80.26,82.41,84.64,80.04,127267
2026-03-26,81.38,80.62,82.66,80.31,72389
2026-03-27,79.14,82.9,83.61,78.19,80556
2026-03-30,81.82,85.87,86.59,81.74,119310
2026-03-31,84.12,78.43,84.12,78.39,163004
2026-04-01,81.19,79.25,81.37,78.3,116761
2026-04-02,79.25,76.92,79.69,76.37,87930
2026-04-03,77.71,77.84,79.81,77.34,85045
2026-04-07,78.37,78.13,79.66,77.85,68206
2026-04-08,80.95,83.39,83.49,80.69,116689
2026-04-09,82.34,84.14,85.47,81.96,103766
2026-04-10,84.94,85.12,86.35,84.69,96381
2026-04-13,84.19,85.25,85.99,84.04,76101
2026-04-14,86.54,87.78,88.33,85.95,121889
2026-04-15,88.65,85.78,89.19,85.29,96891
2026-04-16,85.68,85.81,86.73,84.49,95919
2026-04-17,85.11,85.59,86.28,84.12,90739
2026-04-20,85.58,86.15,87.57,84.48,102246
2026-04-21,86.15,87.28,88.39,84.61,104686
2026-04-22,87.29,90.17,91.08,86.9,133148
2026-04-23,91.69,88.82,92.23,87.19,136139
2026-04-24,89.02,88.79,90.69,88.35,100789
2026-04-27,88.98,88.81,91.11,88.18,150006
2026-04-28,82.69,83.31,85.19,80.19,266528
2026-04-29,82.98,83.63,83.94,79.94,146127
2026-04-30,85.23,84.4,86.45,84.14,118647
2026-05-06,87.24,89.9,92.68,87.24,217313
2026-05-07,90.82,91.77,92.05,89.52,143758
2026-05-08,90.21,88.55,90.67,87.91,130911
2026-05-11,92.47,94.24,96.69,92.02,268927
2026-05-12,95.69,93.55,96.22,92.26,160399
2026-05-13,91.68,102.94,102.94,91.04,236592
2026-05-14,106.69,106.59,109.68,104.19,408573
2026-05-15,108.66,107.15,114.49,105.83,382605
2026-05-18,116.83,113.88,117.9,112.7,392406
2026-05-19,112.66,115.65,115.65,107.13,405614
2026-05-20,115.82,120.25,122.67,115.69,383040
2026-05-21,122.42,113.59,124.69,113.32,425462
2026-05-22,114.44,116.19,117.87,110.01,345053
2026-05-25,119.02,127.84,127.84,115.24,393215
2026-05-26,125.23,122.9,125.88,119.29,396235
2026-05-27,124.69,118.1,127.17,116.99,306556
2026-05-28,114.51,115.05,116.59,110.63,280206
2026-05-29,115.53,107.36,117.29,105.92,301604
2026-06-01,108,104.99,110.8,104.59,214901
2026-06-02,104.87,109.63,112,103.4,255249
2026-06-03,110.19,113.8,116,110.1,244695
2026-06-04,111.5,117.78,120,111.48,274044
2026-06-05,113.74,115,119.09,111.41,258014
2026-06-08,107.66,105.62,110,104.7,237896
2026-06-09,108.79,111.41,111.5,105.81,210295
2026-06-10,107.95,122.55,122.55,107.1,334547
2026-06-11,126.22,134.81,134.81,124,576461
2026-06-12,140.01,132.99,144.5,131.81,663193
2026-06-15,133.32,138.83,138.88,128,406589
2026-06-16,137.45,137.76,143.6,135.05,366139
2026-06-17,137,147.92,149.22,136,374932
2026-06-18,146.44,150.16,151.6,143.85,317760
2026-06-22,152.86,165.18,165.18,152.86,347296
2026-06-23,160.03,157.32,167.8,155.2,351117
2026-06-24,155,173.05,173.05,155,325014
2026-06-25,184,181.03,186.5,172,407547
2026-06-26,180,188.6,195.2,178.2,355978
2026-06-29,199.13,207.46,207.46,191.18,416677
2026-06-30,216.24,224.5,228.1,207.47,447219
2026-07-01,220,236.09,246.44,218,449673
2026-07-02,216,212.48,225.88,212.48,424821
2026-07-03,205.73,199.5,209.99,195.88,463281
2026-07-06,203.25,186.45,205,181,410305
2026-07-07,184.17,185.82,193.33,181,290456
2026-07-08,189,190,196.52,175.11,339107
2026-07-09,196.52,209,209,194.97,335414
2026-07-10,220,207.17,229,207,455959
2026-07-13,205.01,189.02,209.31,186.83,344460
2026-07-14,192.8,187.49,193.5,174.58,352871
2026-07-15,190.52,171.3,194.88,170.05,304103
2026-07-16,167.44,156,169.65,154.17,329345
2026-07-17,158.24,145,160.77,144,366828
2026-07-20,149.11,130.5,150,130.5,261485
2026-07-21,132,143.55,143.55,117.45,456994
2026-07-22,146.42,149.86,157.91,146.4,492182
2026-07-23,151.98,149.07,154.36,144.31,333068
2026-07-24,146.5,153.95,158.75,145,417189
2026-07-27,154.2,169.35,169.35,153,524016
2026-07-28,163.7,166.43,175.3,159,581710
2026-07-29,160,152.18,162.8,149.79,516848
2026-07-30,147.99,136.96,149.96,136.96,388356
2026-07-31,150,133.8,150,133.01,481449
2026-08-03,130,120.91,131.66,120.42,384574
2026-08-04,122.01,129.48,130.64,118.94,401298
2026-08-05,128,140.62,142.43,128,427991
2026-08-06,135.03,145.01,148.17,135.02,386812
2026-08-07,145.01,148.78,150.95,142.51,316285
2026-08-10,152,155.24,155.55,146.3,351494
2026-08-11,151.41,150.29,156.3,148.02,289600
2026-08-12,153.5,155.19,158.66,152,283434
2026-08-13,158.1,149.5,158.6,149.38,324574
2026-08-14,152.01,151.22,153.5,147.17,226483
2026-08-17,151.16,159.01,159.44,149.88,290225
2026-08-18,160.95,158.86,163.19,155.5,271968
2026-08-19,147.04,142.97,152.99,142.97,271395
2026-08-20,140.41,138.38,143.45,136.61,249985
2026-08-21,137.89,138.5,140.88,135.46,190766
2026-08-24,139.3,140.59,144.01,136.6,241750
2026-08-25,135.2,137.19,139.5,130.18,217640
2026-08-26,137.6,135.23,137.74,132,182359
2026-08-27,137.03,142.02,142.88,136.15,108954
